Number,Created,Resolved,Priority,Incident State,Reassignment count,Assignment group,Short description,Category,Subcategory,Country
INC7434584,2025-03-25 06:28:58,2025-03-26 04:26:18,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:PAK:PH: AD - Active Directory Password Reset ,Access/Lockout,Password Reset,Turkey
INC7434566,2025-03-25 06:15:39,2025-03-27 12:28:22,4 - Low,Autoclosed,2,Security_UAA,IN : RR : PH : System - Drive mappings - changes,Error Message,Error Message,United Kingdom
INC7434564,2025-03-25 06:11:20,2025-03-25 06:40:58,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: VB: PH: VPN - Cannot connect to Global Protect.,Coaching,Configuration,Poland
INC7434537,2025-03-25 05:59:01,2025-03-25 07:17:32,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: MKR: PH: Zscaler rollout - Issue with zscaler disabled,Coaching,Configuration,United Kingdom
INC7434516,2025-03-25 05:49:37,2025-03-26 03:48:28,4 - Low,Autoclosed,1,Security_UAA,IN : RR : PH : Server - unable to access delphidrive shared drives,Error Message,Error Message,United Kingdom
INC7434514,2025-03-25 05:46:37,2025-03-25 09:16:57,4 - Low,Closed,1,EUS_GB_00274,IN: MKR: PH: Shared drive - Lost access to network drive \\UKGIL-FS01.phinia.local\User101$ ,Functionality Error,Data Incorrect/Missing/Other,United Kingdom
INC7434427,2025-03-25 05:19:52,2025-03-25 07:07:08,4 - Low,Closed,1,EUS_GB_00274,IN: VB: PH: Share drive - Not connecting to H:,Functionality Error,Connectivity,United Kingdom
INC7434425,2025-03-25 05:15:23,2025-03-26 10:43:52,4 - Low,Autoclosed,3,Global Network Services,IN:PAK:PH: Network Services - Network slowness from Blois DMZ,Error Message,Failure/Down,France
INC7434424,2025-03-25 05:40:28,2025-03-25 05:43:28,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: MKR: PH: Global protect - Issue with connecting to Global protect vpn.,Coaching,Configuration,United Kingdom
INC7434400,2025-03-25 05:00:14,2025-03-25 10:48:47,4 - Low,Autoclosed,1,EUS_Global_Remote_Support,IN : RR : PH : OneDrive - Synchronisation issue with One Drive,Error Message,Error Message,France
INC7434322,2025-03-25 04:49:42,2025-03-25 05:00:20,4 - Low,Autoclosed,0,NETWORK_LAN_LEVEL2,10657-RO-SWC01-L3.phinia.local Not Responding,Functionality Error,Slow/No Response,Romania
INC7434321,2025-03-25 04:45:34,2025-03-26 10:17:29,4 - Low,Autoclosed,2,APP_ENG_LIC_MAN,IN:HP:PH Solidworks : Solidworks application cant open due to license error,Functionality Error,Unsatisfactory Output,Turkey
INC7434320,2025-03-25 04:43:50,2025-03-25 05:22:16,4 - Low,Autoclosed,1,SAP_FI/CO,Access in user group for SQ00 in PN1 for  GPOP and LNECHITA,Error Message,Error Message,Romania
INC7434283,2025-03-25 04:26:20,2025-03-25 05:58:25,4 - Low,Autoclosed,1,EUS_RO_10304,IN:HP:PH Printer : Label Printing Issue,Functionality Error,Break/Fix,Romania
INC7434277,2025-03-25 04:26:13,2025-03-25 04:28:29,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,Drive Mapping,,,United Kingdom
INC7434234,2025-03-25 04:19:20,2025-03-26 03:42:35,4 - Low,Autoclosed,1,APP_COMSUP_SCM,IN : RR : PH : WEB EDI - Supplier unable to log in,Error Message,Error Message,United Kingdom
INC7434227,2025-03-25 03:58:42,2025-03-25 09:32:10,4 - Low,Closed,2,EUS_Intune,IN:RS:PH:Zscaler-Zscaler client rollout issue,Error Message,Error Message,United Kingdom
INC7434207,2025-03-25 03:45:58,2025-03-26 18:10:14,4 - Low,Closed,2,Security_UAA,IN: VB: PH: Share drive - User have lost permission to a drive.,Functionality Error,Connectivity,United Kingdom
INC7434176,2025-03-25 03:28:45,2025-03-25 21:55:14,4 - Low,Closed,3,Security_UAA,I Can not save net work file - Server migration - i can open but not save files on \\UKGIL-FS01.phinia.local ,Error Message,Insufficient Resources,United Kingdom
INC7434157,2025-03-25 03:24:35,2025-03-27 07:48:09,4 - Low,Autoclosed,2,APP_ENG_LIC_MAN,IN : AK: PH- Solidworks: Solidworks server issue,Functionality Error,Break/Fix,Turkey
INC7434075,2025-03-25 02:34:52,2025-03-25 03:04:10,4 - Low,Closed,1,EUS_RO_10304,IN: VB: PH: GES - Java Issue.,Functionality Error,Connectivity,Romania
INC7433520,2025-03-24 18:32:35,2025-03-25 03:50:35,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7433341,2025-03-24 16:27:44,2025-03-25 05:16:03,4 - Low,Autoclosed,1,EUS_FR_00202,IN: SP: PH: Need administrator rights to install Download Notepad++ v8.7.5 ,Error Message,Error Message,France
INC7433114,2025-03-24 13:56:36,2025-03-24 21:13:50,4 - Low,Autoclosed,0,NETWORK_LAN_LEVEL2,10250-tr-swc00-l3.delphidrive.com Not Responding,Functionality Error,Slow/No Response,Turkey
INC7432934,2025-03-24 13:16:52,2025-03-24 13:17:26,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:PAK:PH: AD account locked - Successful,Access/Lockout,Locked Account,United Kingdom
INC7432885,2025-03-24 11:16:06,2025-03-24 12:01:46,4 - Low,Autoclosed,0,SERVICEDESK_ARGENTINA,ARG: WVS: PH: Rollout Zscaler - Installation Process ,Coaching,Configuration,Spain
INC7432835,2025-03-24 10:22:18,2025-03-24 10:23:36,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,Hand terminal doeos not connect wifi,,,Turkey
INC7432735,2025-03-24 09:52:33,2025-03-24 10:57:09,4 - Low,Autoclosed,1,EUS_RO_10304,IN: RK: PH: PC: Laptop Battery Issue,Error Message,Error Message,Romania
INC7432645,2025-03-24 09:08:23,2025-03-24 09:45:16,4 - Low,Autoclosed,0,NETWORK_LAN_LEVEL2,10250-tr-swc00-l3.delphidrive.com Not Responding,Functionality Error,Slow/No Response,Turkey
INC7432644,2025-03-24 09:05:58,2025-03-24 10:47:16,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,"IN:HP:PH AD : Reset password Blondeau, Frederic",Access/Lockout,Password Reset,France
INC7432541,2025-03-24 08:04:33,2025-03-25 08:11:43,4 - Low,Closed,2,EUS_Intune,IN:PAK: PH: Zscaler - User didn't receive 'Download Zscaler' notification,Error Message,Failure/Down,Turkey
INC7432540,2025-03-24 08:03:01,2025-03-24 11:36:02,4 - Low,Autoclosed,1,SAP_Basis Level 3,IN : ND : PH : SAP - SAP QE2 SM58 Errors,Error Message,Error Message,United Kingdom
INC7432509,2025-03-24 07:54:03,2025-03-27 04:10:25,4 - Low,Autoclosed,2,SAP_MANUFACTURING,IN: RK: PH: SAP: MRP creating incorrectly  5 pcs multiple times in frozen time period,Functionality Error,Data Incorrect/Missing/Other,Poland
INC7432508,2025-03-24 07:52:11,2025-03-25 05:38:24,4 - Low,Closed,1,APP_COMSUP_eCatalog,IN : RR : PH : eCatalog - Issue with access to eCatalog,Functionality Error,Feature/Functionality,Romania
INC7432494,2025-03-24 07:49:34,2025-03-24 13:05:24,4 - Low,Closed,0,SERVICEDESK_INDIA,IN:PAK:PH: Shared Drive - User can't access personal folder on ukgil-FS01,Coaching,Technical Question,United Kingdom
INC7432486,2025-03-24 07:41:18,2025-03-24 13:44:13,4 - Low,Closed,1,APP_ENG_CAD_PDM_PLM_POOL,IN: RK: PH: SolidWorks: lost SolidWorks access,Functionality Error,Slow/No Response,United Kingdom
INC7432484,2025-03-24 07:38:24,2025-03-26 10:29:27,4 - Low,Autoclosed,2,SAP_MANUFACTURING,IN:PAK:PH: SAP - MRP is creating firmed orders  by 5 pcs in frozen time zone,Functionality Error,Data Incorrect/Missing/Other,Poland
INC7432417,2025-03-24 06:58:46,2025-03-28 11:05:54,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:PAK:PH: MFA - User needs to add Mobile Number for Authentication,Error Message,Error Message,Turkey
INC7432411,2025-03-24 06:55:10,2025-03-25 08:57:29,4 - Low,Closed,2,APP_ENG_LIC_MAN,IN: RK: PH: SolidWorks: Cannot open SolidWorks,Error Message,Error Message,Turkey
INC7432392,2025-03-24 06:49:36,2025-03-25 13:25:01,4 - Low,Closed,1,Security_UAA,IN : RR : PH : AD - Delphi mail password reset,Access/Lockout,Password Reset Failure,Turkey
INC7432378,2025-03-24 06:35:17,2025-03-26 10:43:57,4 - Low,Closed,4,Global Network Services,IN: RK: PH: Network: Network slowness,Error Message,Error Message,France
INC7432377,2025-03-24 06:36:04,2025-03-24 08:31:06,4 - Low,Autoclosed,0,EUS_RO_10304,"DT Media rotation for Week Ending 28-03-2025 - Device: ROIAS-AP04 IASI, Romania GSL 10304",Tape Swap,Scheduled,Romania
INC7432370,2025-03-24 06:31:05,2025-03-25 04:25:18,4 - Low,Autoclosed,2,APP_ENG_LIC_MAN,IN:PAK:PH: Solidworks - Solidworks Server Error,Error Message,Error Message,Turkey
INC7432363,2025-03-24 06:30:28,2025-03-24 07:39:25,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : RR : PH : Zscaler rollout - GlobalProtect does not seem to work correctly. ,Coaching,Configuration,United Kingdom
INC7432328,2025-03-24 06:21:19,2025-03-25 10:48:31,4 - Low,Autoclosed,7,EUS_Intune,IN : RR : PH : SAP - SAP 32-bit macros do not work,Error Message,Error Message,Turkey
INC7432321,2025-03-24 06:22:28,2025-03-25 04:07:51,4 - Low,Autoclosed,0,EUS_TR_00269,DT Media Rotation trizmp-bu01: Izmir - Weekending 28-03-2025 GSL 269 ,Tape Swap,Scheduled,Turkey
INC7432242,2025-03-24 05:40:44,2025-03-26 10:44:02,4 - Low,Autoclosed,4,Global Network Services,IN: RK: PH: Network: Network access problem,Error Message,Error Message,France
INC7432231,2025-03-24 05:34:50,2025-03-24 06:36:21,4 - Low,Closed,0,SERVICEDESK_INDIA,IN:PAK:PH: Bit locker issue - Recovery key prompted upon reboot,Recovery key prompted upon reboot,Key recovery process,United Kingdom
INC7432199,2025-03-24 05:26:18,2025-03-24 07:10:07,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: RK: PH: VPN: GlobalProtect access issue - Zscaler Rollout,Coaching,Technical Question,Luxembourg
INC7432178,2025-03-24 05:09:39,2025-03-24 07:06:50,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : RR : PH : AD - Account Password Reset,Access/Lockout,Password Reset,France
INC7432155,2025-03-24 05:41:48,2025-03-26 06:38:38,4 - Low,Autoclosed,3,NETWORK_LAN_LEVEL2,IN : RR : PH : AD - Frequent account locked,Access/Lockout,Disabled/Locked,United Kingdom
INC7432148,2025-03-24 04:54:40,2025-03-26 05:29:00,4 - Low,Closed,1,APP_ENT_SERVICENOW,IN:PAK:PH: Service Now- User needs to change the approver for RITM5261338,Service Catalog,Functionality error,United Kingdom
INC7432147,2025-03-24 04:54:13,2025-03-25 06:29:03,4 - Low,Autoclosed,1,APP_ENG_PDM_PLM_FULL,IN : RR : PH : Teamcenter - License problem with NX12,Error Message,Error Message,Romania
INC7432146,2025-03-24 05:08:34,2025-03-27 19:00:20,4 - Low,Autoclosed,1,Security_UAA,IN : RR : PH : Server - Access to server ,Error Message,Error Message,United Kingdom
