number,sys_created_on,short_description,location,assignment_group,reassignment_count,opened_at,problem_id,priority,u_ci_type,u_resolved,close_code,u_complaint_or_complement,u_complaint_compliment_created,u_on_hold_reason,incident_state,u_priority_count,u_reopened,contact_type,category,u_category,cmdb_ci
INC7440981,28/03/2025 04:58,IN: VB: PH: Files - Unable to access file.,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,28/03/2025 04:58,,4 - Low,Laptop,28/03/2025 07:37,Client Resolved,,,,Closed,,FALSE,Web Request,,Functionality Error,GILLTOFF0283
INC7440962,28/03/2025 04:22,IN: VB: PH: SID_FRBLOEDL LOCKED,00202 - Blois - France,Security_UAA,1,28/03/2025 04:22,,4 - Low,Active Directory,28/03/2025 12:44,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Access/Lockout,BLSLTOFF0255
INC7440944,28/03/2025 04:03,IN: AK: PH- Zebra label: Label Code Issue,10304 - Iasi - Romania,EUS_RO_10304,1,28/03/2025 04:03,,4 - Low,Laptop,28/03/2025 08:12,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Error Message,IASLTOFF00247
INC7440931,28/03/2025 04:01,IN:HMV: PH: Software Center Issue,10304 - Iasi - Romania,EUS_RO_10304,1,28/03/2025 04:01,,4 - Low,Laptop,28/03/2025 08:11,Client Resolved,,,,Closed,,TRUE,Web Request,,Error Message,IASDTCAD0003
INC7440929,28/03/2025 04:00,IN: AK: PH- Software center:  Software Center Issue,10304 - Iasi - Romania,EUS_RO_10304,1,28/03/2025 04:00,,4 - Low,Laptop,28/03/2025 08:10,Resolved - Permanent Fix,,,,Closed,,FALSE,Web Request,,Error Message,DL20CLLH2
INC7440916,28/03/2025 03:47,IN:HMV:PH: ShareDrive - No access to H drive.,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,28/03/2025 03:47,,4 - Low,Drive Mapping,28/03/2025 04:21,Client Resolved,,,,Closed,,FALSE,Web Request,,Error Message,DL4V1MZY1
INC7440909,28/03/2025 03:33,IN: AK: PH- SharePoint: No possibility to set up manual workflow ,10304 - Iasi - Romania,Corporate Web Applications,1,28/03/2025 03:33,,4 - Low,Microsoft Sharepoint,28/03/2025 09:56,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Functionality Error,Power Automate
INC7440842,28/03/2025 02:55,IN: AK: PH- VPN: Connection problem with Global Protect post Zscaler rollout.,00202 - Blois - France,SERVICEDESK_INDIA,0,28/03/2025 02:55,,4 - Low,VPN,28/03/2025 04:11,Resolved - Permanent Fix,,,,Closed,,FALSE,Web Request,,Coaching,BLSLTOFF00013
INC7440841,28/03/2025 02:52,IN: VB: PH: Software center - Migration of Fusion PLM installation failed.,10304 - Iasi - Romania,EUS_SCCM,1,28/03/2025 02:52,,4 - Low,Other Server Software,28/03/2025 06:55,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Functionality Error,IASDTCAD0005
INC7439575,27/03/2025 11:15,IN: RK: PH: Teams: Unable to create meeting via outlook.,10605 - Duesseldorf - Germany,EUS_Global_Remote_Support,2,27/03/2025 10:40,,3 - Moderate,Other application,28/03/2025 07:31,Resolved - Permanent Fix,,,Awaiting On-Site/Local Response,Autoclosed,,FALSE,Phone,,Functionality Error,PHIGLOBAL-VNOKR
INC7439395,27/03/2025 08:49,IN: VB: PH: Outlook - Outlook Issue.,10304 - Iasi - Romania,EUS_RO_10304,1,27/03/2025 08:49,,4 - Low,Microsoft Outlook,27/03/2025 09:32,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Functionality Error,IASLTOFF00264
INC7439387,27/03/2025 08:47,IN : ND : PH : LAN - Issue with Wap 072,00202 - Blois - France,NETWORK_LAN_LEVEL2,1,27/03/2025 08:47,,4 - Low,LAN,28/03/2025 03:40,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Functionality Error,FRBLO-PR01
INC7439278,27/03/2025 07:57,IN : RR : PH : System - Network drives mising,00274 - Gillingham - United Kingdom,EUS_GB_00274,1,27/03/2025 07:57,,4 - Low,Laptop,27/03/2025 11:43,Resolved - Permanent Fix,,,Waiting For Customer Response,Closed,,FALSE,Web Request,,Error Message,DLDHDN7S2
INC7439180,27/03/2025 07:21,IN: RK:PH: Shared drive: Lost access to K:// and O:// Drives,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,27/03/2025 07:21,,4 - Low,Drive Mapping,27/03/2025 09:19,Advice Given,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Coaching,GILLTOFF00212
INC7439090,27/03/2025 06:41,IN: RK: PH: AD: Password reset,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SERVICEDESK_INDIA,0,27/03/2025 06:41,,4 - Low,Active Directory,27/03/2025 07:04,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Access/Lockout,DL7CFQ8H2
INC7439089,27/03/2025 06:41,IN: VB: PH: Solid works - Failed installation of Solid works update.,00274 - Gillingham - United Kingdom,EUS_SCCM,1,27/03/2025 06:41,,4 - Low,Solid Works,27/03/2025 12:37,Resolved - Permanent Fix,,,Waiting For Parts,Autoclosed,,FALSE,PHINfo,,Functionality Error,GILLTOFF00351
INC7439012,27/03/2025 06:00,IN: RK: PH: RDP: Problem with connecting remote bench,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SERVICEDESK_INDIA,0,27/03/2025 06:00,,4 - Low,Universal Identity Service,27/03/2025 07:37,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Coaching,IZMLTOFF0121
INC7439000,27/03/2025 05:54,IN: VB: PH: NX - User unable to update to upgrade to NX2406.,00274 - Gillingham - United Kingdom,EUS_SCCM,1,27/03/2025 05:54,,4 - Low,NX,28/03/2025 06:57,Resolved - Permanent Fix,,,Waiting For Parts,Autoclosed,,FALSE,Web Request,,Functionality Error,GILLTOFF00054
INC7438922,27/03/2025 05:25,IN: MKR: PH - Fusion PLM - Issue with  computer is not on the Fusion PLM roll-out list.,00274 - Gillingham - United Kingdom,APP_ENG_PLM_FUSION,1,27/03/2025 05:25,,4 - Low,SolidWorks,27/03/2025 07:13,Resolved - Permanent Fix,,,,Closed,,FALSE,Web Request,,Functionality Error,Fusion PLM
INC7438915,27/03/2025 05:22,IN : RR : PH : Issue with GES and others applications working remotely using ZSCALER,10682 - Krakow - Poland,SERVICEDESK_INDIA,0,27/03/2025 05:22,,4 - Low,Laptop,27/03/2025 06:08,Client Resolved,,,,Closed,,FALSE,Web Request,,Error Message,KRALTOFF0110
INC7438859,27/03/2025 04:55,IN: MKR: PH: Active Directory  - Need AD Password Reset,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SERVICEDESK_INDIA,0,27/03/2025 04:55,,4 - Low,Active Directory,27/03/2025 06:08,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Access/Lockout,Active Directory
INC7438827,27/03/2025 04:38,IN: RK: PH: MATLAB: MATLAB 2023B Installation error,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SERVICEDESK_INDIA,0,27/03/2025 04:38,,4 - Low,Service Now,27/03/2025 08:47,Referred to Service Request,,,,Autoclosed,,FALSE,Web Request,,Coaching / Other,DL7CFQ8H2
INC7438788,27/03/2025 04:22,IN: AK: PH- Teamcenter:  Teamcenter item revision deletion,10682 - Krakow - Poland,APP_ENG_PDM_PLM_FULL,2,27/03/2025 04:22,,4 - Low,Teamcenter Unified,28/03/2025 02:30,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Error Message,Teamcenter Unified
INC7438717,27/03/2025 03:33,IN:HMV: PH: Printer - Traceur TX4000 hors connexion ,00202 - Blois - France,NETWORK_LAN_LEVEL2,1,27/03/2025 03:33,,4 - Low,Printer,27/03/2025 05:31,Client Resolved,,,,Closed,,FALSE,Web Request,,Error Message,BLSLTOFF0027
INC7438678,27/03/2025 03:02,IN: VB: PH: Outlook - Outlook issue.,10304 - Iasi - Romania,EUS_RO_10304,1,27/03/2025 03:02,,4 - Low,Microsoft Outlook,27/03/2025 05:36,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Functionality Error,IASLTCAD00010
INC7438672,27/03/2025 02:58,IN: AK: PH- Outlook: Adding an auto-reply to the email box of an employee who no longer works at Phinia,10682 - Krakow - Poland,Messaging,1,27/03/2025 02:58,,4 - Low,Microsoft Outlook,27/03/2025 05:28,Resolved - Permanent Fix,,,,Closed,,FALSE,Web Request,,Functionality Error,Microsoft Outlook
INC7438617,27/03/2025 02:31,IN: AK: PH- Zscaler rollout: Need to install Zscaler application ,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SERVICEDESK_INDIA,0,27/03/2025 02:31,,4 - Low,VPN,27/03/2025 04:46,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Coaching,DLB0NWQQ2
INC7438196,26/03/2025 22:27,202-FR-SWA013-L2-L00.delphidrive.com Not Responding,00202 - Blois - France,NETWORK_LAN_LEVEL2,0,26/03/2025 22:24,,4 - Low,Switch,27/03/2025 03:56,Health Check,,,Awaiting On-Site/Local Response,Autoclosed,,FALSE,Event,,Functionality Error,202-FR-SWA013-L2-L00
INC7437338,26/03/2025 12:38,IN:BS:PH- Software center - Tools are not available at Software Center of my new laptop,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SERVICEDESK_INDIA,0,26/03/2025 12:38,,4 - Low,Other Server Software,27/03/2025 09:36,Advice Given,,,Attempting to reach End User,Autoclosed,,FALSE,Web Request,,Coaching,DL5FNTXY2
INC7437289,26/03/2025 12:07,IN: MKR: PH: Inquiry - Unable to access Global protect.,10605 - Duesseldorf - Germany,SERVICEDESK_INDIA,0,26/03/2025 12:07,,4 - Low,Status Check,26/03/2025 12:32,Advice Given,,,,Autoclosed,,FALSE,PHINfo,,Coaching,SvD Status Request
INC7437238,26/03/2025 11:39,IN: RK: PH: Office: Missing office 365 license ,10610 - Warwick - United Kingdom,SERVICEDESK_INDIA,0,26/03/2025 11:39,,4 - Low,Microsoft Office,26/03/2025 13:01,Advice Given,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Coaching,DUP-WARLTOFF00065
INC7437081,26/03/2025 10:24,IN: MKR: PH: Active Directory: Need AD Password Reset,10610 - Warwick - United Kingdom,SERVICEDESK_INDIA,0,26/03/2025 10:24,,4 - Low,Active Directory,26/03/2025 12:00,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Access/Lockout,Active Directory
INC7437074,26/03/2025 10:24,"IN: RK: PH: AD: Password reset for Nandimandalam, Rajesh Varma (External) <rnandimandalam@phinia.com>",10610 - Warwick - United Kingdom,SERVICEDESK_INDIA,0,26/03/2025 10:24,,4 - Low,Active Directory,26/03/2025 11:32,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Access/Lockout,DUP-WARLTOFF00065
INC7437059,26/03/2025 10:08,IN: MKR: PH: SAP - Need to Inactivate SAP PG1 Users,10657 - Bucharest - Romania,SAP_SECURITY,1,26/03/2025 10:08,,4 - Low,Security PN1,27/03/2025 03:37,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Error Message,Security PN1
INC7437049,26/03/2025 10:34,IN:HP:PH AD : account locked,00282 - Stonehouse - United Kingdom,SERVICEDESK_INDIA,0,26/03/2025 10:06,,4 - Low,Active Directory,26/03/2025 10:35,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Phone,,Access/Lockout,Active Directory
INC7436749,26/03/2025 07:19,IN: MKR: PH: Shared drive - Issue with  H drive  mapping post server migration.,00274 - Gillingham - United Kingdom,EUS_GB_00274,1,26/03/2025 07:19,,4 - Low,Drive Mapping,26/03/2025 07:28,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,PHINfo,,Functionality Error,GILLTOFF00274
INC7436731,26/03/2025 07:24,IN:PAK:PH: AD account locked - Successful,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,26/03/2025 07:07,,4 - Low,Active Directory,26/03/2025 07:24,Resolved - Permanent Fix,,,,Closed,,FALSE,Phone,,Access/Lockout,Active Directory
INC7436706,26/03/2025 07:00,IN: VB: PH: Account unlock - Borgwarner account has been locked.,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,26/03/2025 07:00,,4 - Low,Active Directory,26/03/2025 10:06,Advice Given,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Access/Lockout,GILLTOFF00367
INC7436686,26/03/2025 06:49,IN: RK: PH: Zscaler Rollout: Zscaler Disabled Issue,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SERVICEDESK_INDIA,0,26/03/2025 06:49,,4 - Low,VPN,27/03/2025 12:33,Client Resolved,,,Attempting to reach End User,Autoclosed,,FALSE,Web Request,,Coaching,IZMLTOFF0195
INC7436621,26/03/2025 06:14,IN : RR : PH : Onedrive - Issue while opening old files,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,26/03/2025 06:14,,4 - Low,Laptop,27/03/2025 07:40,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Phone,,Error Message,GILLTOFF00331
INC7436585,26/03/2025 06:09,"IN:PAK:PH: Desktop Services  - GY0W0N3 ""Inaccessible boot device""",00202 - Blois - France,EUS_FR_00202,1,26/03/2025 06:09,,4 - Low,Desktop,27/03/2025 03:15,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Functionality Error,BLSLTOFF0156
INC7436566,26/03/2025 05:57,IN : RR : PH : AD - Account locked,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,26/03/2025 05:51,,4 - Low,Active Directory,26/03/2025 06:52,Resolved - Permanent Fix,,,,Closed,,FALSE,Phone,,Access/Lockout,Active Directory
INC7436565,26/03/2025 05:51,IN : RR : PH : System - Laptop Freezing Issue,10304 - Iasi - Romania,EUS_RO_10304,1,26/03/2025 05:51,,4 - Low,Laptop,26/03/2025 07:13,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Error Message,DLGPWPPH2
INC7436503,26/03/2025 05:27,IN: VB: PH: JIRA - JIRA server is not currently accessible.,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,26/03/2025 05:27,,4 - Low,Jira,26/03/2025 08:52,Client Resolved,,,Waiting For Customer Response,Closed,,FALSE,Web Request,,Error Message,GILLTOFF0098
INC7436480,26/03/2025 05:12,IN:PAK:PH: Shared Drive - User unable to access the Y drive at Stonehouse,00282 - Stonehouse - United Kingdom,EUS_GB_00282,1,26/03/2025 05:12,,4 - Low,Microsoft Windows,26/03/2025 09:36,Client Resolved,,,Waiting For Customer Response,Closed,,FALSE,Web Request,,Error Message,STHLTOFF00125
INC7436452,26/03/2025 05:19,ARG: EDP: PH - BitLocker issue with starting PC. ,00195 - Madrid - Spain,SERVICEDESK_ARGENTINA,0,26/03/2025 05:01,,4 - Low,BitLocker Hard Disk Encryption,26/03/2025 05:20,Advice Given,,,,Autoclosed,,FALSE,Phone,,Recovery key prompted upon reboot,Bitlocker
INC7436450,26/03/2025 05:01,IN : RR : PH : JIRA - JIRA Server Not Accessible,00274 - Gillingham - United Kingdom,Security_UAA,1,26/03/2025 05:01,,4 - Low,Jira,26/03/2025 09:07,Client Resolved,,,,Closed,,FALSE,Web Request,,Error Message,Jira
INC7436434,26/03/2025 05:22,ARG: LNN: PH: BitLocker Recovery key. ,00195 - Madrid - Spain,SERVICEDESK_ARGENTINA,0,26/03/2025 04:48,,4 - Low,BitLocker Hard Disk Encryption,26/03/2025 05:23,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Phone,,User Forgot PIN/ recovery key ,Bitlocker
INC7436425,26/03/2025 04:37,IN: RK: PH:  Browser : Gillingham Redmine facilities login isn't working,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,26/03/2025 04:37,,4 - Low,Microsoft Internet Explorer,26/03/2025 08:02,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Coaching,DLH7FSJD2
INC7436402,26/03/2025 04:21,IN : AK : PH- Workday : User received security alert mail for Workday,10304 - Iasi - Romania,SERVICEDESK_INDIA,0,26/03/2025 04:21,,4 - Low,Workday,26/03/2025 06:12,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Issue/Break-Fix,IASLTOFF00146
INC7436370,26/03/2025 04:07,IN: VB: PH: Service now - Account Deactivation Issue.,10304 - Iasi - Romania,APP_ENT_SERVICENOW,1,26/03/2025 04:07,,4 - Low,Service Now,27/03/2025 10:56,Workaround Provided – Confirmed,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Service Catalog,ServiceNow_PHINIA
INC7436161,26/03/2025 03:18,IN: VB: PH: Team center -  User unable to access team center.,00202 - Blois - France,APP_ENG_PDM_PLM_FULL,1,26/03/2025 03:18,,4 - Low,Teamcenter Unified,26/03/2025 08:37,Client Resolved,,,,Closed,,FALSE,Web Request,,Functionality Error,Teamcenter Unified
INC7436102,26/03/2025 02:28,IN : AK: PH- RDP: Issue to connect to remote desktop using Zscaler and outside network,20034 - Belval - Luxembourg,SERVICEDESK_INDIA,0,26/03/2025 02:28,,4 - Low,Microsoft Windows,27/03/2025 03:48,Resolved - Permanent Fix,,,Attempting to reach End User,Autoclosed,,FALSE,Web Request,,Coaching,HPCZC8467M9K
INC7436071,26/03/2025 02:15,IN:RS:PH:Network Drive-Unable to access UK Gillingham SCR server  (\\UKGIL-FS01.delphidrive.com\Group101$\SCR),00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),Security_UAA,1,26/03/2025 02:15,,4 - Low,Drive Mapping,26/03/2025 03:26,Resolved - Permanent Fix,,,Waiting For Customer Response,Closed,,FALSE,Web Request,,Error Message,IZMLTOFF00171
INC7436030,26/03/2025 03:44,IN: VB: PH: AD - account locked.,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,26/03/2025 01:37,,4 - Low,Active Directory,26/03/2025 03:48,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Phone,,Access/Lockout,Active Directory
INC7435896,26/03/2025 00:06,IN:RS:PH:SAP-SAP generic user -reset password and unlock,10304 - Iasi - Romania,SAP_SECURITY,1,26/03/2025 00:06,,4 - Low,Security PN1,26/03/2025 14:23,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Error Message,Security PN1
INC7435543,25/03/2025 18:33,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SAP_BATCHJOBS,0,25/03/2025 18:33,,4 - Low,Sales & Distribution PN1,26/03/2025 04:05,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Event,,Error Message,SAP
INC7434978,25/03/2025 10:59,IN: RK: PH: EPAY issue -  SAP PH1 - supplier cannot create an account.,10682 - Krakow - Poland,Corporate Web Applications,1,25/03/2025 10:59,,4 - Low,Other application,26/03/2025 17:39,Advice Given,,,,Autoclosed,,FALSE,Web Request,,Functionality Error,ePay website
INC7434951,25/03/2025 10:48,IN: RK: PH: Shared drive: RITM5261093 closed but unable to access shared drive,10610 - Warwick - United Kingdom,SERVICEDESK_INDIA,0,25/03/2025 10:48,,4 - Low,Drive Mapping,26/03/2025 08:27,Resolved - Permanent Fix,,,Attempting to reach End User,Autoclosed,,FALSE,Web Request,,Coaching,BLNLTOFF0191
INC7434914,25/03/2025 10:25,IN : RR : PH : SAP EAI - HolisTech password problem,00202 - Blois - France,SERVICEDESK_INDIA,2,25/03/2025 10:25,,4 - Low,Holistech_Consumption Data_SAP PN1,26/03/2025 04:58,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Error Message,Holistech_Consumption Data_SAP PN1
INC7434850,25/03/2025 09:42,IN: MKR: PH: Network drives - Issue with Network Drives on Kisok PC no longer working ,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,25/03/2025 09:42,,4 - Low,Drive Mapping,25/03/2025 11:11,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Coaching,GILDTOFF00028
INC7434787,25/03/2025 08:52,IN: MKR: PH: SAP - Buyer code U53 needs to change from Melis Erol to Huseyin Sonmezisik in PN1 system.,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SERVICEDESK_INDIA,0,25/03/2025 08:52,,4 - Low,SAP,25/03/2025 10:43,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,No Action Required,DL3ZHV9C3
INC7434785,25/03/2025 08:44,IN : RR : PH : SAP - Buyer code update in PH1 system,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SAP_PH1_PURCHASE_TO_PAY,2,25/03/2025 08:44,,4 - Low,Material Management PH1,28/03/2025 08:49,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Error Message,Material Management PH1
INC7434735,25/03/2025 08:09,IN:PAK:PH: Network Services - User is facing Network Issue,00202 - Blois - France,EUS_FR_00202,1,25/03/2025 08:09,,4 - Low,Desktop,27/03/2025 06:23,Resolved - Permanent Fix,,,Awaiting Resolver Response,Autoclosed,,FALSE,Web Request,,Functionality Error,BLSLTOFF00403
INC7434717,25/03/2025 07:55,IN : RR : PH : System - Scheduled updates failing to download/install,00274 - Gillingham - United Kingdom,EUS_GB_00274,1,25/03/2025 07:55,,4 - Low,Laptop,26/03/2025 11:16,Resolved - Permanent Fix,,,Waiting For Customer Response,Closed,,FALSE,Web Request,,Error Message,GILDTOFF0002
INC7434661,25/03/2025 07:16,IN:PAK:PH: Outlook - Outlook app missing archive,10646 - Warwick (Titan) - United Kingdom,SERVICEDESK_INDIA,0,25/03/2025 07:16,,4 - Low,Microsoft Outlook,25/03/2025 12:29,Client Resolved,,,Attempting to reach End User,Autoclosed,,FALSE,Web Request,,Error Message,WARLTOFF00086
INC7434646,25/03/2025 07:01,IN : RR : PH : Teamcenter - Teamcenter is out of order,00202 - Blois - France,APP_ENG_PDM_PLM_FULL,1,25/03/2025 07:01,,4 - Low,Teamcenter Unified,26/03/2025 10:06,Client Resolved,,,,Autoclosed,,FALSE,Web Request,,Error Message,Teamcenter Unified
INC7434615,25/03/2025 06:41,IN: VB: PH: Network drive -  Having trouble Issues after Migration of Server for UKGIL-FS01 not able to get into the drive.,00274 - Gillingham - United Kingdom,EUS_GB_00274,1,25/03/2025 06:41,,4 - Low,Microsoft Windows,25/03/2025 09:30,Resolved - Permanent Fix,,,Waiting For Customer Response,Closed,,FALSE,PHINfo,,Functionality Error,BDFLTOFF0377
INC7434584,25/03/2025 06:28,IN:PAK:PH: AD - Active Directory Password Reset ,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SERVICEDESK_INDIA,0,25/03/2025 06:28,,4 - Low,Active Directory,26/03/2025 04:26,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Access/Lockout,Active Directory
INC7434566,25/03/2025 06:15,IN : RR : PH : System - Drive mappings - changes,00274 - Gillingham - United Kingdom,Security_UAA,2,25/03/2025 06:15,,4 - Low,Laptop,27/03/2025 12:28,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,PHINfo,,Error Message,GILLTOFF00028
INC7434564,25/03/2025 06:11,IN: VB: PH: VPN - Cannot connect to Global Protect.,10682 - Krakow - Poland,SERVICEDESK_INDIA,0,25/03/2025 06:11,,4 - Low,VPN,25/03/2025 06:40,Advice Given,,,,Autoclosed,,FALSE,Web Request,,Coaching,DL4PW2533
INC7434537,25/03/2025 05:59,IN: MKR: PH: Zscaler rollout - Issue with zscaler disabled,10610 - Warwick - United Kingdom,SERVICEDESK_INDIA,0,25/03/2025 05:59,,4 - Low,VPN,25/03/2025 07:17,Advice Given,,,,Autoclosed,,FALSE,Web Request,,Coaching,WARLTOFF00069
INC7434516,25/03/2025 05:49,IN : RR : PH : Server - unable to access delphidrive shared drives,00274 - Gillingham - United Kingdom,Security_UAA,1,25/03/2025 05:49,,4 - Low,Server,26/03/2025 03:48,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Error Message,GILLTOFF00361
